Peak_ID,Intensity_171130-18_DN-Sampling-blank08-17-A1,Intensity_171130-19_DN-Sampling-blank08-17-A2,Intensity_171130-20_DN-Sampling-blank08-17-A4,Intensity_171123-16_DN46_Augsburg_UPS,Intensity_171123-17_DN34_Augsburg-Havarie_UPS,Intensity_171123-18_DN31_Amstetten_UPS,Intensity_171123-19_DN28_Brno_UPS,Intensity_171123-20_DN25_Zilina_UPS,Intensity_171123-21_DN22_Krsko_UPS,Intensity_171123-22_DN19_Budapest_UPS,Intensity_171123-23_DN16_Ljubljana_UPS,Intensity_171123-24_DN13_Zagreb_UPS,Intensity_171123-25_DN10_Varazdin_UPS,Intensity_171123-25_DN10_Varaždin_UPS,Intensity_171123-26_DN07_Sabac_UPS,Intensity_171123-27_DN04_Napoca_UPS,Intensity_171123-28_DN01_Bucharest_UPS,Intensity_171123-33_DN48_Augsburg_DS,Intensity_171123-34_DN36_Augsburg-Havarie_DS,Intensity_171123-35_DN33_Amstetten_DS,Intensity_171123-36_DN30_Brno_DS,Intensity_171123-37_DN27_Zilina_DS,Intensity_171123-38_DN24_Krsko_DS,Intensity_171123-39_DN21_Budapest_DS,Intensity_171123-40_DN18_Ljubljana_DS,Intensity_171123-41_DN15_Zagreb_DS,Intensity_171123-42_DN09_Sabac_DS,Intensity_171123-43_DN06_Napoca_DS,Intensity_171123-44_DN03_Bucharest_DS,Intensity_171130-21_DN02_Bucharest_WWTP,Intensity_171130-22_DN05_Napoca_WWTP,Intensity_171130-23_DN08_Sabac_WWTP,Intensity_171130-24_DN11_Varazdin_WWTP,Intensity_171130-25_DN14_Zagreb_WWTP,Intensity_171130-26_DN17_Ljubljana_WWTP,Intensity_171130-27_DN20_Budapest_WWTP,Intensity_171130-28_DN23_Krsko_WWTP,Intensity_171130-29_DN26_Zilina_WWTP,Intensity_171130-30_DN29_Brno_WWTP,Intensity_171130-31_DN32_Amstetten_WWTP,Intensity_171130-32_DN35_Augsburg-Havarie_WWTP,Intensity_171130-33_DN47_Augsburg_WWTP
100.0755@1193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46024016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0835@0742,335944.0,320193.0,298311.123046875,285460.220703125,196984.7578125,296793.983398438,294471.956054688,301369.150390625,257976.881835938,229421.640625,296236.742675781,283799.236328125,162347.819335938,208206.474609375,317090.98046875,276016.690429688,224198.044921875,219262.65625,59944.015625,225585.80078125,204960.28515625,260126.32861328102,275721.334960938,304566.146972656,263970.388671875,279524.19140625,323691.541015625,220242.68359375,0.0,244984.740234375,270497.073242188,301972.0,204293.693359375,256997.89453125,246083.970703125,329117.639648438,133526.203125,0.0,286072.518554688,248147.809570313,234699.196289063,286138.873046875
100.0868@0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248814.0,0.0,0.0,0.0,0.0
100.1088@0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1092@0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1121@0040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3857186.0,0.0,0.0,0.0,0.0,0.0,0.0,1027118.0
100.1120@0051,800905.853515625,867048.982421875,804890.541992188,0.0,419205.35546875,493355.64355468797,426795.74511718797,578812.21484375,1127015.69433594,741381.87890625,0.0,430262.0,666724.744140625,465867.728515625,368368.642578125,837302.622070313,651755.0,2503587.0,1138251.0,0.0,0.0,482407.482421875,852354.60546875,528708.677734375,9831051.0,4758729.0,0.0,2842941.98046875,5025656.234375,1570161.0,845656.0,819399.4609375,731460.0,31443873.0,45227657.0,1442974.85546875,1226216.43945313,513517.0,524666.638671875,1071742.54101563,7123646.84375,7915541.0
100.1120@0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@0585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@0669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026185.0,0.0,0.0,0.0,0.0,0.0
100.1119@0780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1119@0879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1119@0925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1119@0942,622260.583007813,599946.986328125,646762.065429688,1167892.0625,1225272.64453125,0.0,1317262.546875,1335439.70507813,273033.0,1035955.93945313,1124932.19921875,1128094.53320313,644031.0,310213.0,1023224.96875,1021528.6640625,0.0,948925.25,1126641.77734375,0.0,1094630.90039063,1088802.31640625,1156670.72851563,1108579.16992188,971000.173828125,972753.255859375,1055376.10351563,0.0,1025029.59570313,0.0,585200.815429688,0.0,540730.305664063,610668.224609375,0.0,656522.181640625,727540.71875,607645.689453125,621304.731445313,499339.35449218797,621598.876953125,721257.2734375
100.1120@0957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@0980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167281.0,0.0,0.0
100.1120@1043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@1066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@1078,894861.603515625,381369.0,791303.318359375,1987755.77734375,2043097.71289062,1933056.80078125,1835224.921875,1833464.53125,1880502.5,1786613.6796875,1971981.14453125,441250.0,2001652.3828125,1945957.5,1804165.44921875,0.0,1827895.1875,1855128.07421875,1930997.671875,1829546.36328125,945242.0,1868340.3671875,1867357.27734375,447418.0,1834682.734375,1807421.6328125,1804540.64453125,367981.0,2001561.6875,677034.04296875,812653.515625,742602.68359375,724302.830078125,809259.6796875,817519.681640625,833793.803710938,790940.224609375,763857.825195313,822004.6015625,736886.38671875,745274.0390625,834268.583984375
100.1120@1094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690673.0,0.0,0.0,0.0,398921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1121@1102,0.0,201612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@1138,842634.708984375,828849.005859375,215852.0,1041168.0,586455.0,2139768.875,2340571.29296875,2244772.02734375,2124270.19140625,1140661.0,2292995.8359375,394536.0,1950048.37890625,2063525.84765625,2036339.4140625,2022543.45703125,2188557.9375,1898525.3984375,2089376.86328125,2105957.015625,2086659.0625,2007176.1796875,0.0,1971381.14257813,2010681.296875,2175256.15234375,922485.0,1988921.55078125,2130811.02734375,799689.4765625,0.0,0.0,991101.349609375,827834.416992188,897273.423828125,896440.817382813,1126099.84960938,901277.232421875,0.0,793646.287109375,845077.080078125,816498.01953125
100.1119@1159,0.0,908993.0078125,871817.439453125,0.0,2109980.98828125,0.0,2311228.87109375,2272653.42578125,2071692.28515625,2157556.1640625,577481.0,543469.0,2114501.86328125,2178022.359375,2168564.45703125,2045546.8125,0.0,1961387.65625,704042.0,2213376.3671875,2124570.703125,0.0,2208645.6953125,0.0,2285385.921875,1940942.59375,543813.0,2266320.40625,2156488.8671875,940237.279296875,764908.11328125,769645.771484375,898933.693359375,878858.087890625,776298.333984375,866114.875,941048.064453125,948956.1640625,0.0,890071.572265625,868413.970703125,0.0
100.1120@1209,919092.455078125,988906.3828125,943726.318359375,534151.0,2320704.53125,2447292.9140625,2283813.29296875,984405.0,2260934.84375,2184058.88671875,2253656.85546875,2249189.578125,1919997.61328125,496449.0,2215093.3125,2174433.23046875,2165659.10546875,2133761.72265625,2229054.50390625,649457.0,2284985.9453125,2195957.50390625,2285620.59375,451941.0,2061111.19921875,2068958.1953125,2205177.17578125,2098346.28515625,2131318.70703125,941476.228515625,734850.626953125,814620.484375,864565.380859375,892776.77734375,913317.525390625,906107.62890625,939472.515625,577280.0,954692.96875,946191.18359375,915275.3515625,926892.147460938
100.1120@1264,985991.427734375,831697.6015625,930947.20703125,1158919.0,552442.0,2132746.62109375,2182502.3125,2279326.1796875,2234762.8671875,2386349.6640625,2292210.20703125,2036636.75390625,2186025.453125,2199234.1640625,2208301.14453125,2124159.19921875,490672.0,2068633.3046875,2172818.93359375,2052912.87109375,2313639.55078125,2270044.44140625,2241895.53125,2232749.62890625,2215471.015625,2139592.28125,2093505.94140625,2264920.9140625,2352410.74609375,813949.91796875,889932.439453125,881846.46484375,872182.923828125,700556.603515625,931756.26171875,935014.48046875,993273.614257813,867133.755859375,1046291.81640625,882193.4296875,908051.94921875,915892.47265625
100.1119@1277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@1296,0.0,0.0,0.0,545651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@1313,0.0,0.0,0.0,0.0,2449858.01953125,0.0,0.0,2151647.07617188,0.0,0.0,2268544.3671875,0.0,2006550.453125,649274.0,545644.0,0.0,0.0,0.0,0.0,662351.0,0.0,2290540.5703125,476538.0,0.0,0.0,0.0,0.0,0.0,0.0,1083817.23828125,0.0,0.0,0.0,0.0,981764.65625,1009275.87109375,0.0,0.0,822124.130859375,0.0,866965.267578125,0.0
100.1120@1325,846601.71875,835402.173828125,343177.0,480993.0,2502625.0234375,2275114.6640625,2394773.484375,2265138.12109375,2238581.16015625,2322012.29296875,2126271.65625,2238875.3828125,2153281.18359375,2279815.3046875,2065310.83203125,2254261.59375,2036585.90234375,2207477.41015625,1941821.90234375,478374.0,2212738.1484375,2176099.796875,2016029.91015625,2444191.2421875,1957003.29296875,2232283.1484375,2336625.51171875,2483168.87890625,2384606.73046875,802989.171875,996893.4375,931161.00390625,879822.3203125,912947.373046875,957255.115234375,859226.275390625,865340.896484375,753916.333984375,1013981.45507813,1007357.42773438,892216.19140625,922832.064453125
100.1120@1348,0.0,0.0,0.0,0.0,0.0,0.0,538313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@1361,0.0,0.0,0.0,0.0,0.0,0.0,618372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@1374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@1383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@1398,0.0,0.0,0.0,0.0,0.0,0.0,482996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1120@1457,1036812.51953125,921770.9609375,1045536.2109375,2522451.90234375,2422622.25,2521496.58984375,2328840.2265625,2413862.7265625,2487061.375,2131287.0,1499551.0,2467713.51953125,2440681.4609375,2427113.55078125,2453253.2890625,962674.0,647580.0,2342266.98046875,2333182.734375,2409134.6015625,2374903.609375,2306695.34765625,628743.0,2356208.8515625,2502844.04296875,2338507.3203125,643053.0,2294827.3203125,667097.0,351771.0,773241.01953125,968551.89453125,1029054.03515625,1085190.6875,904893.0078125,999508.443359375,850582.916015625,970264.58203125,289152.0,996896.3203125,1112246.1015625,1062283.74023438
100.5333@0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.9319@0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.9319@1411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.9319@1469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.9483@0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.9589@0746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.9684@0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.9884@0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.9884@0470,0.0,0.0,0.0,0.0,0.0,0.0,37594.73046875,0.0,42171.26953125,0.0,0.0,0.0,60956.5712890625,39494.7958984375,0.0,0.0,107551.78808593801,295019.360351563,0.0,0.0,219873.58154296898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41258.4365234375,0.0,108269.068359375,0.0,0.0,0.0,113529.33691406301,0.0,0.0,352022.990234375,1096458.0,0.0,0.0
100.9884@0643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
